task,system,product_type,queries,mrr,recall@1,hit@1,ndcg@1,recall@5,hit@5,ndcg@5,recall@10,hit@10,ndcg@10,recall@50,hit@50,ndcg@50
image,numpy_exact,grocery,37,0.5431914799368135,0.4594594594594595,0.4594594594594595,0.4594594594594595,0.6756756756756757,0.6756756756756757,0.57256267391715,0.6756756756756757,0.6756756756756757,0.57256267391715,0.7567567567567568,0.7567567567567568,0.5892637749813542
image,numpy_exact,home,18,0.8958333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9034366392857175,1.0,1.0,0.9209624657738136,1.0,1.0,0.9209624657738136
image,numpy_exact,home_bed_and_bath,17,0.7060655031243266,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.8823529411764706,0.8823529411764706,0.7399640513206381,0.9411764705882353,0.9411764705882353,0.7595718944578931,1.0,1.0,0.7750218671071397
image,numpy_exact,home_furniture_and_decor,14,0.8154761904761905,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,0.8615433079746323,1.0,1.0,0.8615433079746323,1.0,1.0,0.8615433079746323
image,numpy_exact,sandal,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,numpy_exact,shoes,92,0.8948714630779848,0.8586956521739131,0.8586956521739131,0.8586956521739131,0.9239130434782609,0.9239130434782609,0.8969969458074545,0.967391304347826,0.967391304347826,0.9103331182287028,1.0,1.0,0.9183914545132295
text,faiss_flat,cellular_phone_case,19,0.2776213294789146,0.05546007876834945,0.21052631578947367,0.21052631578947367,0.1344074471894021,0.3157894736842105,0.1488295194935608,0.1460078768349445,0.3157894736842105,0.15084126775332365,0.29953769025665344,0.631578947368421,0.20301640750630434
text,faiss_flat,shoes,32,0.6603670634920634,0.1566603535353535,0.5,0.5,0.60762987012987,0.875,0.5687891926179365,0.7635709776334776,0.96875,0.6149339784535932,0.9525297619047619,1.0,0.6912815731357618
text,hybrid_rrf,cellular_phone_case,19,0.6846092503987241,0.1159111988596662,0.5789473684210527,0.5789473684210527,0.37714384332047246,0.8421052631578947,0.5330859044803976,0.5695178529889323,0.9473684210526315,0.5935212570997175,0.8791639024436558,1.0,0.6728747394949749
text,hybrid_rrf,shoes,32,0.8255208333333333,0.2498015873015873,0.6875,0.6875,0.8066242784992786,1.0,0.7952532799822948,0.9247700216450216,1.0,0.8317097403327366,1.0,1.0,0.8574215816662958
text,lexical_bm25,cellular_phone_case,19,0.8776942355889725,0.19222698833335045,0.8421052631578947,0.8421052631578947,0.6177138890351732,0.9473684210526315,0.8516911023248879,0.7599891815791185,1.0,0.9026048567483823,0.9901315789473685,1.0,0.9285584076783582
text,lexical_bm25,shoes,32,0.8302083333333333,0.2628224206349206,0.71875,0.71875,0.8444083694083695,1.0,0.8370023373481826,0.943939393939394,1.0,0.8657438764418425,1.0,1.0,0.8907518743987154
text,numpy_exact,cellular_phone_case,19,0.2776213294789146,0.05546007876834945,0.21052631578947367,0.21052631578947367,0.1344074471894021,0.3157894736842105,0.1488295194935608,0.1460078768349445,0.3157894736842105,0.15084126775332365,0.29953769025665344,0.631578947368421,0.20301640750630434
text,numpy_exact,shoes,32,0.6603670634920634,0.1566603535353535,0.5,0.5,0.60762987012987,0.875,0.5687891926179365,0.7635709776334776,0.96875,0.6149339784535932,0.9525297619047619,1.0,0.6912815731357618
